Rank	Title	SJR	Publisher	Categories
361	Ecological Monographs	4.254	Wiley-Blackwell	"Ecology	 Evolution	 Behavior and Systematics "
362	Annual Review of Nutrition	4.231	Annual Reviews Inc.	Medicine 
363	Current Opinion in Neurobiology	4.229	Elsevier	Neuroscience 
364	Review of Environmental Economics and Policy	4.207	Oxford University Press	Economics and Econometrics 
365	"Psychological Science in the Public Interest	 Supplement"	4.201	SAGE Publications Inc.	Psychology 
366	Acta Mathematica	4.185	Springer Netherlands	Mathematics 
367	Trends in Cancer	4.175	Cell Press	Cancer Research 
368	Current Opinion in Plant Biology	4.155	Elsevier	Plant Science 
369	Journal of Public Administration Research and Theory	4.154	Oxford University Press	Marketing 
370	Annals of Surgery	4.153	Lippincott Williams and Wilkins Ltd.	Surgery 
371	Journal of Computer-Mediated Communication	4.15	Wiley-Blackwell	Computer Networks and Communications 
372	Global Change Biology	4.146	Wiley-Blackwell Publishing Ltd	Ecology 
373	Annual Review of Biomedical Engineering	4.142	Annual Reviews Inc.	Biomedical Engineering 
374	Matter	4.138	Cell Press	Materials Science 
375	Proceedings of the IEEE International Conference on Computer Vision	4.133	Institute of Electrical and Electronics Engineers Inc.	"Computer Vision and Pattern Recognition; Software																														"
376	PLoS Biology	4.127	Public Library of Science	Agricultural and Biological Sciences 
377	Arthritis and Rheumatology	4.106	John Wiley and Sons Ltd	Immunology 
378	Cancer Research	4.103	American Association for Cancer Research Inc.	Cancer Research 
379	JCI insight	4.099	The American Society for Clinical Investigation	Medicine 
380	Sports Medicine	4.092	Springer International Publishing AG	Medicine 
381	Earth System Science Data	4.066	Copernicus Publications	Earth and Planetary Sciences 
382	Quantitative Economics	4.062	Wiley-Blackwell	Economics and Econometrics 
383	Journal of the Learning Sciences	4.06	Routledge	Developmental and Educational Psychology 
384	Structural Equation Modeling	4.041	Psychology Press Ltd	Decision Sciences 
385	European Respiratory Journal	4.021	European Respiratory Society	Medicine 
386	Comparative Political Studies	4.017	SAGE Publications Inc.	Sociology and Political Science 
387	Annual Review of Environment and Resources	4.01	Annual Reviews Inc.	Environmental Science 
388	Drug Resistance Updates	4.01	Churchill Livingstone	Cancer Research 
389	Neuro-Oncology	4.005	Oxford University Press	Cancer Research 
390	JAMA Pediatrics	4.004	American Medical Association	"Pediatrics	 Perinatology and Child Health "
391	Annual Review of Vision Science	3.984	Annual Reviews Inc.	Medicine 
392	"Proceedings of the 8th USENIX Symposium on Operating Systems Design and Implementation	 OSDI 2008"	3.972		"Computer Networks and Communications; Hardware and Architecture; Information Systems																																							"
393	Research in Organizational Behavior	3.962	Elsevier	Experimental and Cognitive Psychology 
394	Political Analysis	3.953	Cambridge University Press	Political Science and International Relations 
395	BMC Biology	3.952	BioMed Central Ltd.	Agricultural and Biological Sciences 
396	Geometric and Functional Analysis	3.952	Birkhauser Verlag Basel	Analysis 
397	Applied Linguistics	3.941	Oxford University Press	Communication 
398	Journal of Organizational Behavior	3.938	John Wiley and Sons Ltd	Applied Psychology 
399	Current Opinion in Structural Biology	3.935	Elsevier	Molecular Biology 
400	Autophagy	3.934	Landes Bioscience	Cell Biology 
401	Frontiers in Ecology and the Environment	3.918	Wiley-Blackwell	Ecology 
402	Progress in Neurobiology	3.911	Elsevier	Neuroscience 
403	npj 2D Materials and Applications	3.91	Nature Publishing Group	Chemistry 
404	Seminars in Cancer Biology	3.908	Academic Press Inc.	Cancer Research 
405	Annual Review of Financial Economics	3.903	Annual Reviews Inc.	Economics and Econometrics 
406	Journal of Engineering Education	3.896	Wiley-Blackwell	Education 
407	Duke Mathematical Journal	3.894	Duke University Press	Mathematics 
408	Earth-Science Reviews	3.893	Elsevier	Earth and Planetary Sciences 
409	Journal of Urban Economics	3.886	Academic Press Inc.	Economics and Econometrics 
410	Trends in Pharmacological Sciences	3.878	Elsevier	Pharmacology 
411	Molecular Therapy	3.871	Cell Press	Drug Discovery 
412	Annual Review of Sociology	3.866	Annual Reviews Inc.	Sociology and Political Science 
413	Current Opinion in Immunology	3.863	Elsevier	Immunology 
414	Econometrics Journal	3.861	Wiley-Blackwell Publishing Ltd	Economics and Econometrics 
415	Cold Spring Harbor perspectives in medicine	3.853	Cold Spring Harbor Laboratory Press	"Biochemistry	 Genetics and Molecular Biology "
416	Long Range Planning	3.852	Elsevier	Finance 
417	Annals of Internal Medicine	3.839	American College of Physicians	Internal Medicine 
418	Health Affairs	3.837	Project Hope	Health Policy 
419	Journal of Public Economics	3.826	Elsevier	Economics and Econometrics 
420	npj Flexible Electronics	3.826	Nature Publishing Group	Electrical and Electronic Engineering 
421	European Journal of Epidemiology	3.825	Springer Netherlands	Epidemiology 
422	Schizophrenia Bulletin	3.823	Oxford University Press	Psychiatry and Mental Health 
423	Current Biology	3.822	Cell Press	Agricultural and Biological Sciences 
424	American Journal of Mathematics	3.818	Johns Hopkins University Press	Mathematics 
425	IEEE Transactions on Pattern Analysis and Machine Intelligence	3.811	IEEE Computer Society	Applied Mathematics 
426	Journal of Abnormal Psychology	3.809	American Psychological Association Inc.	Biological Psychiatry 
427	Social Issues and Policy Review	3.798	Wiley-Blackwell Publishing Ltd	Applied Psychology 
428	Operations Research	3.797	INFORMS Institute for Operations Research and the Management Sciences	Computer Science Applications 
429	Trends in Molecular Medicine	3.789	Elsevier	Molecular Biology 
430	Small	3.785	Wiley-VCH Verlag	Biomaterials 
431	Laser and Photonics Reviews	3.778	Wiley-VCH Verlag	"Atomic and Molecular Physics	 and Optics "
432	Journal of Econometrics	3.769	Elsevier	Applied Mathematics 
433	Seminars in Immunology	3.765	Academic Press Inc.	Immunology 
434	Journal of International Economics	3.761	Elsevier	Economics and Econometrics 
435	International Materials Reviews	3.76	Maney Publishing	Materials Chemistry 
436	JAMA Surgery	3.757	American Medical Association	Surgery 
437	American Journal of Sociology	3.755	University of Chicago	Sociology and Political Science 
438	Development (Cambridge)	3.754	Company of Biologists Ltd	Developmental Biology 
439	Journal of Communication	3.752	Wiley-Blackwell	Communication 
440	Journal of Supply Chain Management	3.75	Wiley-Blackwell	"Economics	 Econometrics and Finance "
441	New Phytologist	3.742	Wiley-Blackwell Publishing Ltd	Physiology 
442	Review of Economic Dynamics	3.742	Academic Press Inc.	Economics and Econometrics 
443	Chemistry of Materials	3.741	American Chemical Society	Chemical Engineering 
444	International Journal of Research in Marketing	3.725	Elsevier	Marketing 
445	Periodontology 2000	3.725	Blackwell Munksgaard	Periodontics 
446	PLoS Pathogens	3.719	Public Library of Science	Genetics 
447	Journal of the National Comprehensive Cancer Network : JNCCN	3.707	Cold Spring Publishing LLC	Medicine 
448	Journal of Economic Theory	3.689	Academic Press Inc.	Economics and Econometrics 
449	Physical Review Letters	3.688	American Physical Society	Physics and Astronomy 
450	Chemical Science	3.687	Royal Society of Chemistry	Chemistry 
451	RAND Journal of Economics	3.687	Wiley-Blackwell	Economics and Econometrics 
452	Communication Methods and Measures	3.686	Routledge	Communication 
453	Current Opinion in Microbiology	3.675	Elsevier	Infectious Diseases 
454	"Vital and health statistics. Series 2	 Data evaluation and methods research"	3.667	U.S. National Center for Health Statistics	Health Information Management 
455	Research Policy	3.666	Elsevier	Engineering 
456	ACS Materials Letters	3.662	American Chemical Society	Biomedical Engineering 
457	Current Climate Change Reports	3.659	Springer International Publishing AG	Atmospheric Science 
458	Science Signaling	3.659	American Association for the Advancement of Science	Biochemistry 
459	Intensive Care Medicine	3.658	Springer Verlag	Critical Care and Intensive Care Medicine 
460	Geometry and Topology	3.656	University of Warwick	Geometry and Topology 
461	Journal of Child Psychology and Psychiatry and Allied Disciplines	3.652	Wiley-Blackwell Publishing Ltd	Developmental and Educational Psychology 
462	Developmental Review	3.651	Mosby Inc.	Developmental and Educational Psychology 
463	Journal of Operations Management	3.649	John Wiley and Sons Inc.	Computer Science Applications 
464	Psychological Science	3.641	SAGE Publications Inc.	Psychology 
465	Astrophysical Journal Letters	3.639	IOP Publishing Ltd.	Astronomy and Astrophysics 
466	Current Directions in Psychological Science	3.638	SAGE Publications Inc.	Developmental and Educational Psychology 
467	Journal of Materials Chemistry A	3.637	Royal Society of Chemistry	Chemistry 
468	Educational Evaluation and Policy Analysis	3.636	SAGE Publications Inc.	Education 
469	Progress in Lipid Research	3.634	Elsevier	Biochemistry 
470	Surface Science Reports	3.627	Elsevier	Chemistry 
471	Remote Sensing of Environment	3.611	Elsevier	Computers in Earth Sciences 
472	Blood Cancer Journal	3.607	Nature Publishing Group	Hematology 
473	Journal of World Business	3.607	Elsevier	Business and International Management 
474	Bioinformatics	3.599	Oxford University Press	Biochemistry 
475	Mucosal Immunology	3.596	Nature Publishing Group	Immunology 
476	Neuroscience and Biobehavioral Reviews	3.59	Elsevier	Behavioral Neuroscience 
477	Educational Psychology Review	3.588	Springer New York	Developmental and Educational Psychology 
478	Journal of Development Economics	3.588	Elsevier	Development 
479	PLoS Genetics	3.587	Public Library of Science	Cancer Research 
480	IEEE Transactions on Smart Grid	3.571	Institute of Electrical and Electronics Engineers Inc.	Computer Science 
481	Multivariate Behavioral Research	3.57	Psychology Press Ltd	Arts and Humanities 
482	mBio	3.562	American Society for Microbiology	Microbiology 
483	Plant Physiology	3.554	American Society of Plant Biologists	Genetics 
484	Journal of Heart and Lung Transplantation	3.549	Elsevier	Cardiology and Cardiovascular Medicine 
485	Journal of the European Mathematical Society	3.549	European Mathematical Society Publishing House	Applied Mathematics 
486	"Astrophysical Journal	 Supplement Series"	3.546	IOP Publishing Ltd.	Astronomy and Astrophysics 
487	"Lancet Planetary Health	 The"	3.535	Elsevier	Health Policy 
488	Catalysis Reviews - Science and Engineering	3.534	Taylor and Francis Ltd.	Catalysis 
489	Psychotherapy and Psychosomatics	3.531	S. Karger AG	Applied Psychology 
490	Plant Biotechnology Journal	3.525	Wiley-Blackwell Publishing Ltd	Agronomy and Crop Science 
491	Ageing Research Reviews	3.523	Elsevier	Aging 
492	American Educational Research Journal	3.522	SAGE Publications Ltd	Education 
493	Renewable and Sustainable Energy Reviews	3.522	Elsevier	"Renewable Energy	 Sustainability and the Environment "
494	Trends in Endocrinology and Metabolism	3.52	Elsevier	Endocrinology 
495	Genetics in Medicine	3.509	Lippincott Williams and Wilkins Ltd.	Genetics 
496	Information Systems Research	3.507	INFORMS Institute for Operations Research and the Management Sciences	Computer Networks and Communications 
497	Ocular Surface	3.505	Elsevier	Ophthalmology 
498	New Media and Society	3.501	SAGE Publications Ltd	Communication 
499	Kidney International	3.499	Elsevier	Nephrology 
500	Digital Journalism	3.498	Taylor and Francis Ltd.	Communication 
501	American Journal of Obstetrics and Gynecology	3.497	Mosby Inc.	Obstetrics and Gynecology 
502	Biostatistics	3.493	Oxford University Press	Medicine 
503	Molecular Aspects of Medicine	3.492	Elsevier	Biochemistry 
504	Journal of Politics	3.489	University of Chicago Press	Sociology and Political Science 
505	npj Computational Materials	3.488	Nature Publishing Group	Computer Science Applications 
506	Modern Language Journal	3.486	Wiley-Blackwell	Language and Linguistics 
507	Journal of Neuroscience	3.483	Society for Neuroscience	Neuroscience 
508	Advanced Drug Delivery Reviews	3.475	Elsevier	Pharmaceutical Science 
509	Nano-Micro Letters	3.473		Electrical and Electronic Engineering 
510	Criminology	3.467	Wiley-Blackwell	Law 
511	Diabetologia	3.464	Springer Verlag	"Endocrinology	 Diabetes and Metabolism "
512	BMC Medicine	3.463	BioMed Central Ltd.	Medicine 
513	IEEE Transactions on Evolutionary Computation	3.463	Institute of Electrical and Electronics Engineers Inc.	Computational Theory and Mathematics 
514	Pharmacology and Therapeutics	3.461	Elsevier	Pharmacology 
515	Journal of Clinical Periodontology	3.456	Blackwell Munksgaard	Periodontics 
516	Review of Research in Education	3.456	SAGE Publications Inc.	Education 
517	Digest of Technical Papers - IEEE International Solid-State Circuits Conference	3.447	Institute of Electrical and Electronics Engineers Inc.	"Electrical and Electronic Engineering; Electronic	 Optical and Magnetic Materials																																	"
518	Clinical Infectious Diseases	3.44	Oxford University Press	Infectious Diseases 
519	IEEE Transactions on Automatic Control	3.436	Institute of Electrical and Electronics Engineers Inc.	Computer Science Applications 
520	Biochimica et Biophysica Acta - Reviews on Cancer	3.435	Elsevier	Cancer Research 
521	Nature Human Behaviour	3.434	Nature Publishing Group	Behavioral Neuroscience 
522	Methods in Ecology and Evolution	3.425	John Wiley and Sons Inc.	Ecological Modeling 
523	International Journal of Machine Tools and Manufacture	3.418	Elsevier	Industrial and Manufacturing Engineering 
